 1IT        1 5 0 5 5 5 4 3 4 522111255 3 3 3444111 4 4 5
 1IT  3019700 5 3 3 4 3 2 4 5 222222222 2 2 2222111 5 5 5
 1IT  3020300 5 0 0 1 1 1 4 6 522232300 0 0 0333111 0 0 0
 1IT  3020400 5 5 6 4 6 9 3 3 522223344 4 6 8233221 4 6 8
 1IT  3024500 0 2 5 0 5 8 3 5 822223554 7 6 5422111 5 5 5
 1IT  3024800 5 6 7 4 910 4 5 622223235 51010324111 5 9 9
 1IT  3025200 2 3 7 6 8 9 8 8 922333222 8 8 9334112 8 8 9
 1IT  3025300 5 2 4 4 3 3 5 1 222322324 5 5 3121111 2 2 2
 1IT  3025800 7 7 6 8 8 9 8 8 922344443 9 9 9445222 8 9 9
 1IT  3025900 9 8 7 8 910 8 8 722223544 9 910443212 8 910
 1IT  3026100 6 6 5 2 0 7 3 2 022212334 1 0 7000111 0 0 7
 1IT  3026200 5 5 7 3 6 5 0 5 722222322 8 7 6112221 6 6 7
 1IT  3026300 3 3 7 4 5 5 6 7 622333533 5 7 7333112 8 7 7
 1IT  3026500 5 7 7 688 6 6 4 622322233 688 5322121 6 6 7
 1IT  3029300 1 2 0 5 0 6 5 3 522222353 4 3 7212111 3 3 6
 1IT  3029400 3 3 3 6 4 7 5 7 622333244 6 5 8344111 6 5 8
 1IT  302950010 6 5 4 510 3 5 522223522 4 410324222 4 410
 1IT  3029600 5 5 5 5 4 7 7 8 822343333 8 3 6353111 5 3 4
 1IT  3031000 7 8 8 6 0 8 7 7 522332500 6 0 8443222 7 0 8
 1IT  3031100 3 1 0 0 0 8 488 6222232208888 8223121 588 8
 1IT  3034100 6 6 7 5 5 6 6 6 622332454 5 4 54341218888 8
 1IT  3034200 6 4 5 6 7 8 3 6 622222444 5 6 6222121 7 7 8
 1IT  3034300 5 6 6 7 5 7 6 71022233454 7 6 6454222888888
 1IT  3034400 5 4 5 7 7 8 4 4 522222323 7 5 6334112888888
 1IT  3034500 3 3 3 8 8 9 6 7 722333223 8 8 8454111 9 8 8
 1IT  3034600 5 7 3 8 910 7 5 822233242 8 0 8233221 8 9 8
 1IT  3034700 2 5 3 6 5 7 4 3 422221313 7 6 6221122 8 6 7
 1IT  3034800 7 6 5 9 810 4 5 522222211 8 8 9223111 8 8 9
 1IT  3034900 5 7 5 2 2 5 6 3 422333333 4 4 6333221 8 8 8
 1IT  3035000 5 6 5 8 7 9 6 6 722333444 8 8 8434221 8 8 8
 1IT  3035100 7 7 7 9 6 7 9 9 722444444 9 8 9454222 8 8 9
 1IT  3035200 6 3 5 6 6 8 3 4 322222424 8 8 8222221 8 8 9
